latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
-19.79611,143.75275,367,0.5,0.41,2020-01-06,0418,1,high,1.0NRT,309.5,14.5,D
-19.79694,143.74806,367,0.5,0.41,2020-01-06,0418,1,high,1.0NRT,309.8,14.5,D
-19.64556,144.5873,346.9,0.55,0.43,2020-01-06,0418,1,nominal,1.0NRT,310.7,13.2,D
-19.64843,144.57159,346.2,0.55,0.43,2020-01-06,0418,1,nominal,1.0NRT,312.4,30.4,D
-19.6494,144.5663,343,0.55,0.43,2020-01-06,0418,1,low,1.0NRT,313.2,15.2,D
-19.79527,143.75745,355,0.5,0.41,2020-01-06,0418,1,nominal,1.0NRT,311.5,63.7,D
-19.79777,143.74338,347.3,0.5,0.41,2020-01-06,0418,1,nominal,1.0NRT,310.8,19.3,D
-19.79444,143.76212,367,0.5,0.41,2020-01-06,0418,1,low,1.0NRT,326,63.7,D
-19.64165,144.58653,351.5,0.55,0.43,2020-01-06,0418,1,nominal,1.0NRT,312.8,13.2,D
-19.64551,144.56549,346.8,0.55,0.43,2020-01-06,0418,1,nominal,1.0NRT,315.1,15.2,D
-19.63775,144.58572,338.9,0.55,0.43,2020-01-06,0418,1,low,1.0NRT,310.5,4.6,D
-19.64161,144.56471,356.5,0.55,0.43,2020-01-06,0418,1,nominal,1.0NRT,315.1,28.6,D
-19.63386,144.58487,341.1,0.55,0.43,2020-01-06,0418,1,nominal,1.0NRT,308.6,4.6,D
-19.77663,143.70251,343.9,0.49,0.41,2020-01-06,0418,1,nominal,1.0NRT,311.9,12,D
-19.54272,144.5752,341.3,0.55,0.43,2020-01-06,0418,1,low,1.0NRT,311.5,13.5,D
-19.46199,143.36946,350.1,0.48,0.4,2020-01-06,0418,1,nominal,1.0NRT,303.9,6.7,D
-19.46278,143.36493,344.1,0.48,0.4,2020-01-06,0418,1,nominal,1.0NRT,302.3,6.7,D
-19.46357,143.36035,335.7,0.48,0.4,2020-01-06,0418,1,nominal,1.0NRT,299.9,2.7,D
-19.45833,143.36874,343.3,0.48,0.4,2020-01-06,0418,1,nominal,1.0NRT,302.2,5.8,D
-19.45912,143.36421,343.9,0.48,0.4,2020-01-06,0418,1,nominal,1.0NRT,300.6,5.8,D
-19.45258,143.35823,343.3,0.48,0.4,2020-01-06,0418,1,nominal,1.0NRT,303.9,4.6,D
-19.44177,143.3985,355.6,0.48,0.4,2020-01-06,0418,1,nominal,1.0NRT,304.3,32.4,D
-19.4381,143.3978,351,0.48,0.4,2020-01-06,0418,1,nominal,1.0NRT,301.8,35.1,D
-19.43087,143.33081,333.5,0.48,0.4,2020-01-06,0418,1,nominal,1.0NRT,300.3,4,D
-19.42879,143.32109,346.6,0.48,0.4,2020-01-06,0418,1,nominal,1.0NRT,302.6,9.4,D
-19.42958,143.31657,341.7,0.48,0.4,2020-01-06,0418,1,nominal,1.0NRT,301.7,12,D
-19.42513,143.32043,341.2,0.48,0.4,2020-01-06,0418,1,nominal,1.0NRT,302,9.4,D
-19.40867,143.39236,346.9,0.48,0.4,2020-01-06,0418,1,nominal,1.0NRT,289.6,10.4,D
-19.40949,143.38773,342.2,0.48,0.4,2020-01-06,0418,1,nominal,1.0NRT,302.1,8.5,D
